2023-07-01 10:39:06 - INFO - train data: 218803
2023-07-01 10:39:06 - INFO - val data: 73475
2023-07-01 10:55:23 - INFO - epoch-1, train_loss-0.6044, val_loss-0.4127, val_acc-0.8922, val_sen-0.5854, val_spec-0.8923, val_ap-0.0416, val_bedroc-0.1651, val_auc-0.7909
2023-07-01 11:05:11 - INFO - epoch-2, train_loss-0.4481, val_loss-0.3010, val_acc-0.9315, val_sen-0.4878, val_spec-0.9317, val_ap-0.0129, val_bedroc-0.1897, val_auc-0.8434
2023-07-01 11:10:00 - INFO - epoch-3, train_loss-0.3311, val_loss-0.1828, val_acc-0.9682, val_sen-0.3659, val_spec-0.9686, val_ap-0.0106, val_bedroc-0.1645, val_auc-0.8467
2023-07-01 11:13:56 - INFO - epoch-4, train_loss-0.2512, val_loss-0.1450, val_acc-0.9788, val_sen-0.3171, val_spec-0.9792, val_ap-0.0111, val_bedroc-0.1976, val_auc-0.8299
2023-07-01 11:16:52 - INFO - epoch-5, train_loss-0.1930, val_loss-0.1129, val_acc-0.9858, val_sen-0.1951, val_spec-0.9863, val_ap-0.0145, val_bedroc-0.1817, val_auc-0.7541
2023-07-01 11:19:32 - INFO - epoch-6, train_loss-0.1532, val_loss-0.0948, val_acc-0.9866, val_sen-0.1951, val_spec-0.9870, val_ap-0.0084, val_bedroc-0.1807, val_auc-0.6874
2023-07-01 11:21:40 - INFO - epoch-7, train_loss-0.1244, val_loss-0.0656, val_acc-0.9942, val_sen-0.1463, val_spec-0.9947, val_ap-0.0085, val_bedroc-0.1850, val_auc-0.6149
2023-07-01 11:23:53 - INFO - epoch-8, train_loss-0.1003, val_loss-0.0670, val_acc-0.9922, val_sen-0.1463, val_spec-0.9927, val_ap-0.0123, val_bedroc-0.1927, val_auc-0.6491
2023-07-01 11:25:40 - INFO - epoch-9, train_loss-0.0862, val_loss-0.0574, val_acc-0.9937, val_sen-0.1463, val_spec-0.9942, val_ap-0.0116, val_bedroc-0.1978, val_auc-0.6051
2023-07-01 11:27:42 - INFO - epoch-10, train_loss-0.0744, val_loss-0.0492, val_acc-0.9953, val_sen-0.1463, val_spec-0.9958, val_ap-0.0083, val_bedroc-0.1832, val_auc-0.5812
2023-07-01 11:29:48 - INFO - epoch-11, train_loss-0.0664, val_loss-0.0455, val_acc-0.9949, val_sen-0.1463, val_spec-0.9954, val_ap-0.0130, val_bedroc-0.1761, val_auc-0.5778
2023-07-01 11:31:35 - INFO - epoch-12, train_loss-0.0590, val_loss-0.0415, val_acc-0.9953, val_sen-0.1463, val_spec-0.9958, val_ap-0.0145, val_bedroc-0.1881, val_auc-0.5903
2023-07-01 11:33:31 - INFO - epoch-13, train_loss-0.0518, val_loss-0.0384, val_acc-0.9962, val_sen-0.1463, val_spec-0.9967, val_ap-0.0108, val_bedroc-0.1715, val_auc-0.5571
2023-07-01 11:35:18 - INFO - epoch-14, train_loss-0.0477, val_loss-0.0418, val_acc-0.9944, val_sen-0.1463, val_spec-0.9949, val_ap-0.0129, val_bedroc-0.2026, val_auc-0.5842
2023-07-01 11:37:20 - INFO - epoch-15, train_loss-0.0441, val_loss-0.0301, val_acc-0.9971, val_sen-0.1220, val_spec-0.9976, val_ap-0.0139, val_bedroc-0.1780, val_auc-0.5246
2023-07-01 11:39:01 - INFO - epoch-16, train_loss-0.0390, val_loss-0.0248, val_acc-0.9974, val_sen-0.0976, val_spec-0.9979, val_ap-0.0180, val_bedroc-0.1861, val_auc-0.5333
2023-07-01 11:40:50 - INFO - epoch-17, train_loss-0.0359, val_loss-0.0310, val_acc-0.9962, val_sen-0.1707, val_spec-0.9966, val_ap-0.0163, val_bedroc-0.2208, val_auc-0.6013
2023-07-01 11:42:29 - INFO - epoch-18, train_loss-0.0340, val_loss-0.0297, val_acc-0.9964, val_sen-0.1463, val_spec-0.9969, val_ap-0.0143, val_bedroc-0.2124, val_auc-0.5808
2023-07-01 11:44:10 - INFO - epoch-19, train_loss-0.0337, val_loss-0.0239, val_acc-0.9968, val_sen-0.1220, val_spec-0.9973, val_ap-0.0143, val_bedroc-0.1994, val_auc-0.5967
2023-07-01 11:45:51 - INFO - epoch-20, train_loss-0.0305, val_loss-0.0243, val_acc-0.9971, val_sen-0.1220, val_spec-0.9976, val_ap-0.0171, val_bedroc-0.2050, val_auc-0.5620
2023-07-01 11:47:32 - INFO - epoch-21, train_loss-0.0276, val_loss-0.0200, val_acc-0.9978, val_sen-0.1463, val_spec-0.9983, val_ap-0.0172, val_bedroc-0.2032, val_auc-0.5144
2023-07-01 11:49:08 - INFO - epoch-22, train_loss-0.0259, val_loss-0.0200, val_acc-0.9974, val_sen-0.1463, val_spec-0.9979, val_ap-0.0181, val_bedroc-0.2075, val_auc-0.5644
2023-07-01 11:50:41 - INFO - epoch-23, train_loss-0.0250, val_loss-0.0156, val_acc-0.9982, val_sen-0.0976, val_spec-0.9987, val_ap-0.0186, val_bedroc-0.1837, val_auc-0.5412
2023-07-01 11:52:16 - INFO - epoch-24, train_loss-0.0241, val_loss-0.0240, val_acc-0.9967, val_sen-0.1463, val_spec-0.9972, val_ap-0.0141, val_bedroc-0.2263, val_auc-0.5457
2023-07-01 11:53:42 - INFO - epoch-25, train_loss-0.0216, val_loss-0.0162, val_acc-0.9980, val_sen-0.0976, val_spec-0.9985, val_ap-0.0177, val_bedroc-0.1896, val_auc-0.5114
2023-07-01 11:55:19 - INFO - epoch-26, train_loss-0.0221, val_loss-0.0160, val_acc-0.9979, val_sen-0.1220, val_spec-0.9984, val_ap-0.0206, val_bedroc-0.1974, val_auc-0.5753
2023-07-01 11:56:50 - INFO - epoch-27, train_loss-0.0197, val_loss-0.0172, val_acc-0.9975, val_sen-0.1463, val_spec-0.9980, val_ap-0.0191, val_bedroc-0.1841, val_auc-0.5394
2023-07-01 11:58:27 - INFO - epoch-28, train_loss-0.0192, val_loss-0.0248, val_acc-0.9964, val_sen-0.1707, val_spec-0.9969, val_ap-0.0154, val_bedroc-0.2110, val_auc-0.6405
2023-07-01 11:59:54 - INFO - epoch-29, train_loss-0.0190, val_loss-0.0156, val_acc-0.9978, val_sen-0.1220, val_spec-0.9983, val_ap-0.0303, val_bedroc-0.2341, val_auc-0.5908
2023-07-01 12:01:33 - INFO - epoch-30, train_loss-0.0169, val_loss-0.0174, val_acc-0.9979, val_sen-0.1463, val_spec-0.9984, val_ap-0.0138, val_bedroc-0.2024, val_auc-0.5569
2023-07-01 12:02:59 - INFO - epoch-31, train_loss-0.0159, val_loss-0.0131, val_acc-0.9982, val_sen-0.1463, val_spec-0.9987, val_ap-0.0205, val_bedroc-0.2228, val_auc-0.5705
2023-07-01 12:04:33 - INFO - epoch-32, train_loss-0.0157, val_loss-0.0110, val_acc-0.9986, val_sen-0.0732, val_spec-0.9991, val_ap-0.0199, val_bedroc-0.1747, val_auc-0.5285
2023-07-01 12:06:06 - INFO - epoch-33, train_loss-0.0161, val_loss-0.0147, val_acc-0.9979, val_sen-0.1220, val_spec-0.9984, val_ap-0.0193, val_bedroc-0.2140, val_auc-0.5616
